"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
"12","0.955856592","0.950853143","0.960755005","0.957153742","0.955695277","0.952074245","0.957915949","0.955302366","0.952380952","0.957642726","0.961043519","0.964609535","0.956932188","0.95455878","0.949948628","0.954086426","0.950507838","0.949333646","0.95285622","0.959060895","0.957665434","0.962836846","0.961719117","0.966387788","0.962193261","0.965245284","0.96521688","0.96093267","0.959238252","0.959882439","0.955683555","0.959797814","0.960357342","0.957387448","0.953303965","0.962758459","0.960957437","0.957939813"
"13","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"14","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"15","0.955856592","0.950853143","0.960755005","0.957153742","0.955695277","0.952074245","0.957915949","0.955302366","0.952380952","0.957642726","0.961043519","0.964609535","0.956932188","0.95455878","0.949948628","0.954086426","0.950507838","0.949333646","0.95285622","0.959060895","0.957665434","0.962836846","0.961719117","0.966387788","0.962193261","0.965245284","0.96521688","0.96093267","0.959238252","0.959882439","0.955683555","0.959797814","0.960357342","0.957387448","0.953303965","0.962758459","0.960957437","0.957939813"
"16","0.955856592","0.950853143","0.960755005","0.957153742","0.955695277","0.952074245","0.957915949","0.955302366","0.952380952","0.957642726","0.961043519","0.964609535","0.956932188","0.95455878","0.949948628","0.954086426","0.950507838","0.949333646","0.95285622","0.959060895","0.957665434","0.962836846","0.961719117","0.966387788","0.962193261","0.965245284","0.96521688","0.96093267","0.959238252","0.959882439","0.955683555","0.959797814","0.960357342","0.957387448","0.953303965","0.962758459","0.960957437","0.957939813"
"17","1.079061077","1.082689223","1.089129224","1.091964129","1.100745723","1.103141377","1.102187436","1.095530237","1.089771698","1.087433132","1.100842302","1.096226967","1.09765751","1.099970683","1.08733304","1.079145139","1.081430165","1.085539834","1.088475313","1.084079237","1.085667313","1.074385017","1.073273837","1.080287685","1.081366678","1.08943233","1.089400271","1.088703742","1.079143033","1.07803086","1.078523569","1.075584813","1.077316407","1.084255969","1.083113069","1.079652256","1.082397114","1.086408166"
"18","1.046946164","1.050021875","1.053958205","1.057382334","1.055709899","1.05044354","1.044362022","1.048787613","1.055277851","1.06287819","1.069840898","1.075168178","1.077721422","1.081207857","1.090268604","1.091474871","1.093759173","1.096107556","1.097868843","1.099926632","1.093887617","1.100217225","1.101456083","1.101423749","1.106610309","1.104146435","1.105879583","1.108723172","1.10853146","1.110947832","1.102033619","1.104972376","1.107878574","1.101876597","1.104258443","1.11137218","1.112317034","1.11573884"
"19","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1.107878574","1.101876597","1.104258443","1.11137218","1.112317034","1.11573884"
"20","0.95410487","0.948519761","0.947272781","0.946017232","0.95101623","0.959100624","0.9637569","0.965819457","0.960565933","0.957642726","0.954024333","0.949985376","0.948136855","0.944591029","0.955232643","0.955260686","0.951682029","0.949333646","0.950507838","0.948495965","0.942986319","0.937591734","0.934124002","0.943490386","0.931079018","0.928754304","0.932846801","0.943268466","0.943368501","0.946950771","0.956271306","0.952157047","0.963296012","0.963260991","0.968575624","0.959234023","0.956264117","0.962632721"
"21","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"22","0.95410487","0.948519761","0.947272781","0.946017232","0.95101623","0.959100624","0.9637569","0.965819457","0.960565933","0.957642726","0.954024333","0.949985376","0.948136855","0.944591029","0.955232643","0.955260686","0.951682029","0.949333646","0.950507838","0.948495965","0.942986319","0.937591734","0.934124002","0.943490386","0.931079018","0.928754304","0.932846801","0.943268466","0.943368501","0.946950771","0.956271306","0.952157047","0.963296012","0.963260991","0.968575624","0.959234023","0.956264117","0.962632721"
"23","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"24","0.989723228","0.990520636","0.995926024","0.999355255","1.006579909","1.010627397","1.004643556","1.002629273","1.005583326","1.000321553","1.00491343","0.999707517","0.997977073","0.994429786","0.995156319","0.990488492","0.996888393","0.993365819","1.002172254","1.000733676","1.007574423","1.019198027","1.022780648","1.022750624","1.026182928","1.025278832","1.028191395","1.025701416","1.029770476","1.033357825","1.029152463","1.031503468","1.036175027","1.038442336","1.037885463","1.030897556","1.024903934","1.027160204"
"25","0.989723228","0.990520636","0.995926024","0.999355255","1.006579909","1.010627397","1.004643556","1.002629273","1.005583326","1.000321553","1.00491343","0.999707517","0.997977073","0.994429786","0.995156319","0.990488492","0.996888393","0.993365819","1.002172254","1.000733676","1.007574423","1.019198027","1.022780648","1.022750624","1.026182928","1.025278832","1.028191395","1.025701416","1.029770476","1.033357825","1.029152463","1.031503468","1.036175027","1.038442336","1.037885463","1.030897556","1.024903934","1.027160204"
"26","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"27","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"28","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"29","1.058040406","1.050605221","1.051027287","1.053279409","1.052200614","1.055713324","1.050787068","1.049371896","1.044169663","1.04709287","1.047613477","1.040070196","1.036090181","1.032541777","1.018640834","1.026890559","1.020959314","1.020959314","1.01215288","1.014820249","1.014033234","1.007456115","1.000469704","0.995743432","0.988611013","0.982313646","0.990524395","0.99390585","1.005084198","1.009845702","1.014458681","1.016809686","1.0114902","1.010836686","1.008516887","1.013275376","1.017277287","1.006042119"
"30","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"31","1.058040406","1.050605221","1.051027287","1.053279409","1.052200614","1.055713324","1.050787068","1.049371896","1.044169663","1.04709287","1.047613477","1.040070196","1.036090181","1.032541777","1.018640834","1.026890559","1.020959314","1.020959314","1.01215288","1.014820249","1.014033234","1.007456115","1.000469704","0.995743432","0.988611013","0.982313646","0.990524395","0.99390585","1.005084198","1.009845702","1.014458681","1.016809686","1.0114902","1.010836686","1.008516887","1.013275376","1.017277287","1.006042119"
"32","1.051033516","1.057022021","1.048682552","1.049762616","1.05629478","1.061568639","1.064221255","1.067484663","1.065801397","1.067555322","1.071595695","1.075753144","1.075376","1.077689827","1.070893879","1.067402536","1.072036635","1.075559209","1.078494687","1.082318415","1.079795667","1.080255974","1.071512447","1.071480992","1.060819537","1.06706689","1.058795833","1.064562664","1.066212126","1.067450404","1.071470554","1.067944046","1.071439067","1.074858301","1.066079295","1.069078947","1.065970491","1.072916056"
"33","1.051033516","1.057022021","1.048682552","1.049762616","1.05629478","1.061568639","1.064221255","1.067484663","1.065801397","1.067555322","1.071595695","1.075753144","1.075376","1.077689827","1.070893879","1.067402536","1.072036635","1.075559209","1.078494687","1.082318415","1.079795667","1.080255974","1.071512447","1.071480992","1.060819537","1.06706689","1.058795833","1.064562664","1.066212126","1.067450404","1.071470554","1.067944046","1.071439067","1.074858301","1.066079295","1.069078947","1.065970491","1.072916056"
"34","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"35","1.079061077","1.082689223","1.089129224","1.091964129","1.100745723","1.103141377","1.102187436","1.095530237","1.089771698","1.087433132","1.100842302","1.096226967","1.09765751","1.099970683","1.08733304","1.079145139","1.081430165","1.085539834","1.088475313","1.084079237","1.085667313","1.074385017","1.073273837","1.080287685","1.081366678","1.08943233","1.089400271","1.088703742","1.079143033","1.07803086","1.078523569","1.075584813","1.077316407","1.084255969","1.083113069","1.079652256","1.082397114","1.086408166"
"36","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"37","1.044610534","1.048271839","1.054544389","1.057382334","1.052200614","1.036976315","1.043777927","1.04177622","1.04709287","1.039492531","1.031235377","1.036560398","1.040781026","1.03840516","1.042125349","1.046265853","1.049727001","1.055597957","1.057946339","1.059427733","1.064529388","1.063817296","1.062705496","1.058564509","1.065516027","1.075895353","1.075863693","1.072805959","1.075028654","1.078618663","1.074997061","1.072646056","1.077904141","1.086018032","1.09133627","1.087288534","1.084157109","1.079368804"
"38","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1.09133627","1.087288534","1.084157109","1.079368804"
"39","1.044610534","1.048271839","1.054544389","1.057382334","1.052200614","1.036976315","1.043777927","1.04177622","1.04709287","1.039492531","1.031235377","1.036560398","1.040781026","1.03840516","1.042125349","1.046265853","1.049727001","1.055597957","1.057946339","1.059427733","1.064529388","1.063817296","1.062705496","1.058564509","1.065516027","1.075895353","1.075863693","1.072805959","1.075028654","1.078618663","1.074997061","1.072646056","1.077904141","1.086018032","1.09133627","1.087288534","1.084157109","1.079368804"
"40","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"41","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"42","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"43","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"44","1.038187551","1.034854893","1.031097043","1.028075728","1.024711215","1.031706532","1.038521071","1.03768624","1.035400041","1.037738607","1.032990173","1.026031003","1.021431294","1.024919378","1.011008366","1.013386566","1.013914167","1.019785123","1.011565784","1.007776963","0.99817979","0.993365819","1.000469704","0.995156319","0.98684983","0.996439187","0.996409864","1.000971531","1.000969818","0.998677443","0.996238392","1.000352651","1.00561286","0.998502247","0.996182085","0.993303571","0.990877358","0.99606969"
"45","1.038187551","1.034854893","1.031097043","1.028075728","1.024711215","1.031706532","1.038521071","1.03768624","1.035400041","1.037738607","1.032990173","1.026031003","1.021431294","1.024919378","1.011008366","1.013386566","1.013914167","1.019785123","1.011565784","1.007776963","0.99817979","0.993365819","1.000469704","0.995156319","0.98684983","0.996439187","0.996409864","1.000971531","1.000969818","0.998677443","0.996238392","1.000352651","1.00561286","0.998502247","0.996182085","0.993303571","0.990877358","0.99606969"
"46","1","1","1","1","1","1","1","1","1","1.037738607","1.032990173","1.026031003","1.021431294","1.024919378","1.011008366","1.013386566","1.013914167","1.019785123","1.011565784","1.007776963","0.99817979","0.993365819","1.000469704","0.995156319","0.98684983","0.996439187","0.996409864","1.000971531","1.000969818","0.998677443","0.996238392","1.000352651","1.00561286","0.998502247","0.996182085","0.993303571","0.990877358","0.99606969"
"47","0.98213243","0.981187108","0.976581963","0.97297931","0.965638251","0.958515092","0.957331854","0.960560911","0.965827706","0.972258762","0.977421619","0.978063761","0.972177431","0.977425975","0.982239836","0.98050728","0.97986262","0.97986262","0.976927141","0.974908291","0.979390523","0.985733576","0.986965712","0.986936739","0.983327463","0.985845031","0.981696192","0.989195396","0.989214447","0.986333578","0.982132362","0.977430351","0.973875224","0.977944847","0.971512482","0.969807331","0.970930744","0.964979175"
"48","0.98213243","0.981187108","0.976581963","0.97297931","0.965638251","0.958515092","0.957331854","0.960560911","0.965827706","0.972258762","0.977421619","0.978063761","0.972177431","0.977425975","0.982239836","0.98050728","0.97986262","0.97986262","0.976927141","0.974908291","0.979390523","0.985733576","0.986965712","0.986936739","0.983327463","0.985845031","0.981696192","0.989195396","0.989214447","0.986333578","0.982132362","0.977430351","0.973875224","0.977944847","0.971512482","0.969807331","0.970930744","0.964979175"
"49","0.98213243","0.981187108","0.976581963","0.97297931","0.965638251","0.958515092","0.957331854","0.960560911","0.965827706","0.972258762","0.977421619","0.978063761","0.972177431","0.977425975","0.982239836","0.98050728","0.97986262","0.97986262","0.976927141","0.974908291","0.979390523","0.985733576","0.986965712","0.986936739","0.983327463","0.985845031","0.981696192","0.989195396","0.989214447","0.986333578","0.982132362","0.977430351","0.973875224","0.977944847","0.971512482","0.969807331","0.970930744","0.964979175"
"50","0.985635875","0.990520636","0.980685249","0.978254499","0.979675391","0.976666569","0.973102421","0.969909436","0.968750914","0.967581631","0.962213383","0.957004972","0.95927761","0.962767517","0.958755321","0.964654767","0.959901368","0.95285622","0.944049786","0.934409391","0.940637661","0.937004638","0.945866604","0.95053574","0.949277915","0.956416821","0.954623036","0.958577443","0.953948335","0.948714181","0.946867286","0.943340778","0.940374387","0.936830049","0.943318649","0.948073308","0.953330791","0.960286267"
"51","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"52","0.985635875","0.990520636","0.980685249","0.978254499","0.979675391","0.976666569","0.973102421","0.969909436","0.968750914","0.967581631","0.962213383","0.957004972","0.95927761","0.962767517","0.958755321","0.964654767","0.959901368","0.95285622","0.944049786","0.934409391","0.940637661","0.937004638","0.945866604","0.95053574","0.949277915","0.956416821","0.954623036","0.958577443","0.953948335","0.948714181","0.946867286","0.943340778","0.940374387","0.936830049","0.943318649","0.948073308","0.953330791","0.960286267"
"53","1.038187551","1.034854893","1.031097043","1.028075728","1.024711215","1.031706532","1.038521071","1.03768624","1.035400041","1.037738607","1.032990173","1.026031003","1.021431294","1.024919378","1.011008366","1.013386566","1.013914167","1.019785123","1.011565784","1.007776963","0.99817979","0.993365819","1.000469704","0.995156319","0.98684983","0.996439187","0.996409864","1.000971531","1.000969818","0.998677443","0.996238392","1.000352651","1.00561286","0.998502247","0.996182085","0.993303571","0.990877358","0.99606969"
"54","1.053369146","1.052355257","1.055130572","1.053865541","1.053955257","1.055713324","1.063053065","1.069821794","1.068724605","1.06697068","1.058727188","1.060544019","1.058958046","1.055408971","1.063261412","1.059182715","1.060881818","1.062643105","1.070862443","1.075275128","1.08155716","1.084952739","1.0861907","1.08322325","1.084301984","1.065889762","1.069978224","1.072805959","1.07267758","1.074504041","1.078523569","1.082637828","1.084956948","1.08719274","1.090161527","1.094337406","1.087090434","1.099313662"
"55","1.053369146","1.052355257","1.055130572","1.053865541","1.053955257","1.055713324","1.063053065","1.069821794","1.068724605","1.06697068","1.058727188","1.060544019","1.058958046","1.055408971","1.063261412","1.059182715","1.060881818","1.062643105","1.070862443","1.075275128","1.08155716","1.084952739","1.0861907","1.08322325","1.084301984","1.065889762","1.069978224","1.072805959","1.07267758","1.074504041","1.078523569","1.082637828","1.084956948","1.08719274","1.090161527","1.094337406","1.087090434","1.099313662"
"56","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"57","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"58","0.948265795","0.951436488","0.948445148","0.944844968","0.953940635","0.963199344","0.957331854","0.955886649","0.961150574","0.962319857","0.965138044","0.961099737","0.967486587","0.962181179","0.956993982","0.961719117","0.959901368","0.955791698","0.954617507","0.949669846","0.945334977","0.944049786","0.945866604","0.954645531","0.958670894","0.956416821","0.956388676","0.951511761","0.951597261","0.947538575","0.950981545","0.957446809","0.955067736","0.957974803","0.952129222","0.94924812","0.94511748","0.942687863"
"59","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"60","0.948265795","0.951436488","0.948445148","0.944844968","0.953940635","0.963199344","0.957331854","0.955886649","0.961150574","0.962319857","0.965138044","0.961099737","0.967486587","0.962181179","0.956993982","0.961719117","0.959901368","0.955791698","0.954617507","0.949669846","0.945334977","0.944049786","0.945866604","0.954645531","0.958670894","0.956416821","0.956388676","0.951511761","0.951597261","0.947538575","0.950981545","0.957446809","0.955067736","0.957974803","0.952129222","0.94924812","0.94511748","0.942687863"
"61","0.960527852","0.966020125","0.961341188","0.960084403","0.955695277","0.962028281","0.962588709","0.963482325","0.965243065","0.96348914","0.95870379","0.966364434","0.974522853","0.973907945","0.979304271","0.97757163","0.982211002","0.976340046","0.975165855","0.981364637","0.985262169","0.981623907","0.985204321","0.9851754","0.988611013","0.990553545","0.992878583","0.982718521","0.977459077","0.986333578","0.989773128","0.982720113","0.977401628","0.973833368","0.973861968","0.968632519","0.969757414","0.965565789"
"62","0.960527852","0.966020125","0.961341188","0.960084403","0.955695277","0.962028281","0.962588709","0.963482325","0.965243065","0.96348914","0.95870379","0.966364434","0.974522853","0.973907945","0.979304271","0.97757163","0.982211002","0.976340046","0.975165855","0.981364637","0.985262169","0.981623907","0.985204321","0.9851754","0.988611013","0.990553545","0.992878583","0.982718521","0.977459077","0.986333578","0.989773128","0.982720113","0.977401628","0.973833368","0.973861968","0.968632519","0.969757414","0.965565789"
"63","1","1","1","1","1","1","1","1","1","1","1","0.966364434","0.974522853","0.973907945","0.979304271","0.97757163","0.982211002","0.976340046","0.975165855","0.981364637","0.985262169","0.981623907","0.985204321","0.9851754","0.988611013","0.990553545","0.992878583","0.982718521","0.977459077","0.986333578","0.989773128","0.982720113","0.977401628","0.973833368","0.973861968","0.968632519","0.969757414","0.965565789"
"64","1.006656546","1.003937582","0.994167473","0.991735537","0.982014914","0.975495506","0.96842966","0.966403739","0.971674121","0.974597328","0.970402433","0.969289266","0.968072943","0.970389915","0.965800675","0.969351808","0.972817472","0.975165855","0.983972289","0.980190756","0.975867536","0.981036811","0.987552842","0.980478497","0.989198074","0.988787852","0.988758755","0.986251362","0.980985688","0.975753123","0.970965088","0.968026331","0.970936554","0.970896596","0.971512482","0.972744361","0.979144056","0.972018537"
"65","1.079061077","1.082689223","1.089129224","1.091964129","1.100745723","1.103141377","1.102187436","1.095530237","1.089771698","1.087433132","1.100842302","1.096226967","1.09765751","1.099970683","1.08733304","1.079145139","1.081430165","1.085539834","1.088475313","1.084079237","1.085667313","1.074385017","1.073273837","1.080287685","1.081366678","1.08943233","1.089400271","1.088703742","1.079143033","1.07803086","1.078523569","1.075584813","1.077316407","1.084255969","1.083113069","1.079652256","1.082397114","1.086408166"
"66","1.006656546","1.003937582","0.994167473","0.991735537","0.982014914","0.975495506","0.96842966","0.966403739","0.971674121","0.974597328","0.970402433","0.969289266","0.968072943","0.970389915","0.965800675","0.969351808","0.972817472","0.975165855","0.983972289","0.980190756","0.975867536","0.981036811","0.987552842","0.980478497","0.989198074","0.988787852","0.988758755","0.986251362","0.980985688","0.975753123","0.970965088","0.968026331","0.970936554","0.970896596","0.971512482","0.972744361","0.979144056","0.972018537"
"67","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"68","1.074389817","1.068105586","1.06919898","1.073207901","1.07735049","1.08147671","1.088753249","1.091440257","1.093864188","1.089771698","1.094408049","1.092717169","1.091793955","1.093520962","1.1037722","1.106153124","1.09963013","1.09552046","1.096694652","1.099926632","1.09564911","1.09963013","1.100868953","1.092029943","1.08723729","1.084135252","1.084103349","1.076338799","1.075616422","1.067450404","1.066180792","1.069119549","1.057921185","1.060174444","1.062555066","1.058505639","1.070663812","1.077608963"
"69","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"70","1.074389817","1.068105586","1.06919898","1.073207901","1.07735049","1.08147671","1.088753249","1.091440257","1.093864188","1.089771698","1.094408049","1.092717169","1.091793955","1.093520962","1.1037722","1.106153124","1.09963013","1.09552046","1.096694652","1.099926632","1.09564911","1.09963013","1.100868953","1.092029943","1.08723729","1.084135252","1.084103349","1.076338799","1.075616422","1.067450404","1.066180792","1.069119549","1.057921185","1.060174444","1.062555066","1.058505639","1.070663812","1.077608963"
"71","1.074389817","1.068105586","1.06919898","1.073207901","1.07735049","1.08147671","1.088753249","1.091440257","1.093864188","1.089771698","1.094408049","1.092717169","1.091793955","1.093520962","1.1037722","1.106153124","1.09963013","1.09552046","1.096694652","1.099926632","1.09564911","1.09963013","1.100868953","1.092029943","1.08723729","1.084135252","1.084103349","1.076338799","1.075616422","1.067450404","1.066180792","1.069119549","1.057921185","1.060174444","1.062555066","1.058505639","1.070663812","1.077608963"
"72","1.074389817","1.068105586","1.06919898","1.073207901","1.07735049","1.08147671","1.088753249","1.091440257","1.093864188","1.089771698","1.094408049","1.092717169","1.091793955","1.093520962","1.1037722","1.106153124","1.09963013","1.09552046","1.096694652","1.099926632","1.09564911","1.09963013","1.100868953","1.092029943","1.08723729","1.084135252","1.084103349","1.076338799","1.075616422","1.067450404","1.066180792","1.069119549","1.057921185","1.060174444","1.062555066","1.058505639","1.070663812","1.077608963"
"73","1.074389817","1.068105586","1.06919898","1.073207901","1.07735049","1.08147671","1.088753249","1.091440257","1.093864188","1.089771698","1.094408049","1.092717169","1.091793955","1.093520962","1.1037722","1.106153124","1.09963013","1.09552046","1.096694652","1.099926632","1.09564911","1.09963013","1.100868953","1.092029943","1.08723729","1.084135252","1.084103349","1.076338799","1.075616422","1.067450404","1.066180792","1.069119549","1.057921185","1.060174444","1.062555066","1.058505639","1.070663812","1.077608963"
"74","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"75","1.074389817","1.068105586","1.06919898","1.073207901","1.07735049","1.08147671","1.088753249","1.091440257","1.093864188","1.089771698","1.094408049","1.092717169","1.091793955","1.093520962","1.1037722","1.106153124","1.09963013","1.09552046","1.096694652","1.099926632","1.09564911","1.09963013","1.100868953","1.092029943","1.08723729","1.084135252","1.084103349","1.076338799","1.075616422","1.067450404","1.066180792","1.069119549","1.057921185","1.060174444","1.062555066","1.058505639","1.070663812","1.077608963"
"76","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"77","1.074389817","1.068105586","1.06919898","1.073207901","1.07735049","1.08147671","1.088753249","1.091440257","1.093864188","1.089771698","1.094408049","1.092717169","1.091793955","1.093520962","1.1037722","1.106153124","1.09963013","1.09552046","1.096694652","1.099926632","1.09564911","1.09963013","1.100868953","1.092029943","1.08723729","1.084135252","1.084103349","1.076338799","1.075616422","1.067450404","1.066180792","1.069119549","1.057921185","1.060174444","1.062555066","1.058505639","1.070663812","1.077608963"
"78","1.074389817","1.068105586","1.06919898","1.073207901","1.07735049","1.08147671","1.088753249","1.091440257","1.093864188","1.089771698","1.094408049","1.092717169","1.091793955","1.093520962","1.1037722","1.106153124","1.09963013","1.09552046","1.096694652","1.099926632","1.09564911","1.09963013","1.100868953","1.092029943","1.08723729","1.084135252","1.084103349","1.076338799","1.075616422","1.067450404","1.066180792","1.069119549","1.057921185","1.060174444","1.062555066","1.058505639","1.070663812","1.077608963"
